Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
392966,Influenza - Avian,;H5N1 HPAI;,52.6,0.92,"145258THETFORD, NORFOLK",U.K. of Great Britain and Northern Ireland,Europe,2024-12-09T00:00:00Z,2024-12-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335791,Influenza - Avian,;H5N1 HPAI;,52.46,0.48,"Fetwell, King’s Lynn & West Norfolk",U.K. of Great Britain and Northern Ireland,Europe,2022-10-15T00:00:00Z,2022-10-28T00:00:00Z,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed
333147,Influenza - Avian,;H5N1 HPAI;,52.53,0.9,"Attleborough, Breckland",U.K. of Great Britain and Northern Ireland,Europe,2022-09-25T00:00:00Z,2022-10-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335177,Influenza - Avian,;H5N1 HPAI;,52.71,0.82,"Dereham, Breckland",U.K. of Great Britain and Northern Ireland,Europe,2022-10-28T00:00:00Z,2022-11-04T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335770,Influenza - Avian,;H5N1 HPAI;,52.55,1.15,"Wymondham, South Norfolk",U.K. of Great Britain and Northern Ireland,Europe,2022-11-06T00:00:00Z,2022-11-11T00:00:00Z,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed
333148,Influenza - Avian,;H5N1 HPAI;,52.52,0.95,"Attleborough, Breckland",U.K. of Great Britain and Northern Ireland,Europe,2022-09-29T00:00:00Z,2022-10-10T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
323921,Influenza - Avian,;H5N1 HPAI;,54.23,-1.42,"Near Thirsk, Hambleton",U.K. of Great Britain and Northern Ireland,Europe,2021-11-18T00:00:00Z,2022-06-01T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308798,Influenza - Avian,;H5N1 HPAI;,54.19,-1.42,"Thirsk, Hambleton",U.K. of Great Britain and Northern Ireland,Europe,2021-12-01T00:00:00Z,2021-12-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308792,Influenza - Avian,;H5N1 HPAI;,54.46,-1.78,"Richmond, Richmondshire",U.K. of Great Britain and Northern Ireland,Europe,2021-11-28T00:00:00Z,2021-12-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
398200,Influenza - Avian,;H5N1 HPAI;,54.05,-1.2,"148798BEVERLEY, EAST RIDING OF YORKSHIRE ",U.K. of Great Britain and Northern Ireland,Europe,2025-01-18T00:00:00Z,2025-01-31T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
312391,Influenza - Avian,;H5N1 HPAI;,54.46,-0.6,"Whitby, Scarborough",U.K. of Great Britain and Northern Ireland,Europe,2022-01-24T00:00:00Z,2022-01-28T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308788,Influenza - Avian,;H5N1 HPAI;,54.21,-1.41,"Thirsk, Hambleton",U.K. of Great Britain and Northern Ireland,Europe,2021-12-01T00:00:00Z,2021-12-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
397272,Influenza - Avian,;H5N1 HPAI;,54.06,-1.08,"148097EASINGWOLD, HAMBLETON",U.K. of Great Britain and Northern Ireland,Europe,2025-01-17T00:00:00Z,2025-01-24T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335181,Influenza - Avian,;H5N1 HPAI;,54.21,-1.42,"Thirsk, Hambleton",U.K. of Great Britain and Northern Ireland,Europe,2022-10-30T00:00:00Z,2022-11-04T00:00:00Z,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed
284880,Influenza - Avian,;H5N1 HPAI;,54.37,-2.16,Nr Hawes,U.K. of Great Britain and Northern Ireland,Europe,2020-12-13T00:00:00Z,2020-12-18T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
309735,Influenza - Avian,;H5N1 HPAI;,54.22,-1.44,"Thirsk, Hambleton",U.K. of Great Britain and Northern Ireland,Europe,2021-12-11T00:00:00Z,2021-12-23T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
307138,Influenza - Avian,;H5N1 HPAI;,54.29,-1.5,"Leeming Bar, Hambleton",U.K. of Great Britain and Northern Ireland,Europe,2021-11-10T00:00:00Z,2021-11-19T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
352498,Influenza - Avian,;H5N1 HPAI;,52.36,-0.55,"Ringstead, North Northamptonshire",U.K. of Great Britain and Northern Ireland,Europe,2023-04-24T00:00:00Z,2023-05-05T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335765,Influenza - Avian,;H5N1 HPAI;,52.431308,-0.402393,"Oundle, North Northamptonshire",U.K. of Great Britain and Northern Ireland,Europe,2022-11-02T00:00:00Z,2022-11-11T00:00:00Z,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed
314419,Influenza - Avian,;H5N1 HPAI;,55.166667,-2,"Holy Island, Berwick Upon Tweed",U.K. of Great Britain and Northern Ireland,Europe,2022-02-07T00:00:00Z,2022-02-18T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
368244,Influenza - Avian,;H5N1 HPAI;,55.59,-2.09,"OB_128490 - AIV2023/57 - BERWICK-UPON-TWEED, NORTHUMBERLAND",U.K. of Great Britain and Northern Ireland,Europe,2023-11-23T00:00:00Z,2023-12-04T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
314186,Influenza - Avian,;H5N1 HPAI;,55.54,-2.03,"Wooler, Berwick Upon Tweed",U.K. of Great Britain and Northern Ireland,Europe,2022-02-09T00:00:00Z,2022-02-18T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
333145,Influenza - Avian,;H5N1 HPAI;,51.64,-1.63,"Faringdon, Vale of White Horse",U.K. of Great Britain and Northern Ireland,Europe,2022-09-29T00:00:00Z,2022-10-10T00:00:00Z,"Domestic,Goose,",WOAH (former OIE),,,Confirmed
343222,Influenza - Avian,;H5N1 HPAI;,51.64,-1.63,"Faringdon, Vale of White Horse",U.K. of Great Britain and Northern Ireland,Europe,2022-09-30T00:00:00Z,2023-01-27T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
397112,Influenza - Avian,;H5N1 HPAI;,52.89,-2.72,"147953 WEM, SHREWSBURY",U.K. of Great Britain and Northern Ireland,Europe,2025-01-16T00:00:00Z,2025-01-23T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
339358,Influenza - Avian,;H5N1 HPAI;,52.53,-2.9,"Bishops Castle, Ludlow",U.K. of Great Britain and Northern Ireland,Europe,2022-12-16T00:00:00Z,2022-12-30T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
352496,Influenza - Avian,;H5N1 HPAI;,53.52,-0.99,"Cantley, Doncaster",U.K. of Great Britain and Northern Ireland,Europe,2023-04-27T00:00:00Z,2023-05-05T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
362699,Influenza - Avian,;H5N1 HPAI;,52.86,-1.9,"OB_124997 - AIV2023/48 - UTTOXETER, EAST STAFFORDSHIRE",U.K. of Great Britain and Northern Ireland,Europe,2023-09-02T00:00:00Z,2023-09-15T00:00:00Z,"Domestic,Phasianus colchicus (Common pheasant) - Phasanidae,",WOAH (former OIE),,,Confirmed
333142,Influenza - Avian,;H5N1 HPAI;,53.04,-2.3,"Kidsgrove, Newcastle-under-Lyme",U.K. of Great Britain and Northern Ireland,Europe,2022-09-27T00:00:00Z,2022-10-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
318336,Influenza - Avian,;H5N1 HPAI;,52.18,0.92,"Stowmarket, Mid Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-03-25T00:00:00Z,2022-04-01T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
338407,Influenza - Avian,;H5N1 HPAI;,52.36,0.98,"Redgrave, Mid Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-12-02T00:00:00Z,2022-12-16T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
